date,description,amount,type
2024-01-01,Accounting Match 1,4791.29,DEBIT
2024-01-04,Accounting Match 2,1232.71,DEBIT
2024-01-02,Accounting Match 3,2233.72,DEBIT
2024-01-02,Accounting Match 4,4391.97,DEBIT
2024-01-06,Accounting Match 5,548.53,CREDIT
2024-01-05,Accounting Match 6,3318.13,DEBIT
2024-01-06,Accounting Match 7,596.41,CREDIT
2024-01-06,Accounting Match 8,888.01,CREDIT
2024-01-09,Accounting Match 9,3284.55,CREDIT
2024-01-10,Accounting Match 10,571.15,DEBIT
2024-01-09,Accounting Match 11,1348.45,DEBIT
2024-01-13,Accounting Match 12,1894.58,CREDIT
2024-01-14,Accounting Match 13,1974.14,DEBIT
2024-01-14,Accounting Match 14,3937.68,CREDIT
2024-01-14,Accounting Match 15,4344.51,CREDIT
2024-01-15,Accounting Match 16,4028.37,DEBIT
2024-01-16,Accounting Match 17,1696.46,CREDIT
2024-01-18,Accounting Match 18,4056.06,CREDIT
2024-01-20,Accounting Match 19,2856.37,DEBIT
2024-01-19,Accounting Match 20,279.84,DEBIT
2024-01-23,Accounting Match 21,2349.38,CREDIT
2024-01-23,Accounting Match 22,4451.11,DEBIT
2024-01-22,Accounting Match 23,2356.24,DEBIT
2024-01-25,Accounting Match 24,182.42,DEBIT
2024-01-27,Accounting Match 25,4180.97,CREDIT
2024-01-24,Accounting Match 26,2104.65,DEBIT
2024-01-25,Accounting Match 27,2514.98,DEBIT
2024-01-30,Accounting Match 28,3618.24,CREDIT
2024-01-30,Accounting Match 29,2535.89,CREDIT
2024-02-01,Accounting Match 30,1071.14,CREDIT
2024-02-01,Accounting Match 31,4273.37,DEBIT
2024-02-01,Accounting Match 32,4006.52,DEBIT
2024-01-31,Accounting Match 33,1450.12,DEBIT
2024-02-03,Accounting Match 34,1103.17,CREDIT
2024-02-05,Accounting Match 35,535.3,DEBIT
2024-02-05,Accounting Match 36,736.72,DEBIT
2024-02-04,Accounting Match 37,3524.43,CREDIT
2024-02-08,Accounting Match 38,3834.32,DEBIT
2024-02-07,Accounting Match 39,3250.78,CREDIT
2024-02-10,Accounting Match 40,1886.38,CREDIT
2024-02-10,Accounting Match 41,4939.71,DEBIT
2024-02-11,Accounting Match 42,626.37,DEBIT
2024-02-10,Accounting Match 43,1077.87,DEBIT
2024-02-11,Accounting Match 44,4009.3,CREDIT
